
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
199104  -3.43  -1.70  -4.02  -1.86  -4.38  -1.08  -5.71  -0.32  -3.72  -6.50
199105   4.06   4.67   3.86   5.53   4.66   1.46   3.27   5.33   2.79  -3.32
199106  -0.70  -0.51  -2.93  -1.01  -1.61  -2.40  -1.93  -0.42  -0.61  -6.51
199107   9.86   9.40   5.18   7.81   7.88   5.45   9.05  10.07   8.84   5.70
199108  -0.03   1.63   2.68   6.11  -1.02   5.95  -1.34   3.06  -4.09  -1.11
199109  -0.66  -0.20  -1.03  -1.47  -0.68  -0.98  -0.83  -0.48  -1.35 -22.12
199110   1.98   2.01   2.68   2.21   2.67  -1.00   0.49   1.71  -0.92  -0.41
199111   3.41   3.91   4.94   5.87   4.77   7.45   3.22   4.77   3.74   2.87
199112   3.62   3.16   2.99   2.61   4.66  -1.34   3.45   4.02   4.17  -4.20
199201   7.28  11.50   4.69   9.79   4.49   6.22   5.21   8.90   7.71  -2.22
199202   7.51   7.96   7.70   7.29   7.87  11.32   6.05   6.33   6.84   0.46
199203   0.85   0.28   3.93  -2.55   3.42   0.29   3.95   0.94   4.53   7.77
199204   8.69   9.09   9.19   9.99   9.43   2.99   8.74   7.87   9.45  -1.17
199205  14.02  19.80   8.74  20.65  11.00  13.02   8.28  15.10  13.28  44.02
199206   0.92   2.11   0.86  -3.30   0.91  -3.29  -3.44   2.04   3.54   8.12
199207  -3.99  -5.00  -2.07  -6.93  -0.86  -0.12  -4.51  -2.13  -5.11 -11.10
199208  -4.17  -4.74  -3.92  -5.64  -1.97 -12.49  -2.10  -3.66  -4.56 -16.41
199209  -1.40   0.54  -3.58  -2.41  -0.93  -1.13  -1.98   0.70  -1.72  -4.37
199210  12.05   8.49  11.88  12.56  12.03   8.39  13.62   5.91  12.36   0.30
199211  -5.92  -5.02  -2.98  -7.86  -4.47  -8.93  -2.00  -3.96  -7.80  -9.76
199212  -4.82  -7.95  -1.58  -7.43  -1.80  -4.23  -0.56  -5.84  -5.63 -12.18
199301   3.96   3.45   3.32   3.29   5.39   3.32   5.61   3.24   4.26   6.07
199302  10.85  13.80   7.90  14.05   6.71  11.74   5.52  12.01  11.12   2.04
199303  -0.08   0.35   1.09  -0.84   1.77  -1.13  -0.93  -3.15   2.00   5.36
199304   7.41   5.47   5.79  11.01   5.93  13.92   5.50   5.92   7.18  -0.87
199305   9.18   9.83   7.35  11.59   8.22   7.41   9.77  11.72   8.00   8.05
199306  -3.84  -4.70  -2.84  -6.38  -3.00  -5.19  -4.09  -3.80  -1.35   0.35
199307  -2.07  -3.52  -1.26  -4.14  -0.81  -4.46  -0.10  -0.84  -3.55  -3.63
199308   6.87   7.02   8.12   5.53   7.02   6.72  11.05   6.52   3.98  -3.05
199309   2.59   4.70   0.82   2.10   0.51   1.19   2.22   2.76   1.46  -0.71
199310  23.42  27.25  19.26  27.45  21.58  26.79  25.56  19.21  18.44  47.70
199311  -0.91   3.06  -3.11  -0.13  -2.00   0.75  -2.85   1.36   1.29  30.65
199312  30.10  39.56  20.29  41.26  22.37  29.42  20.49  27.27  30.43  57.24
199401  -3.83  -1.85  -4.17  -0.99  -4.98  -2.37  -2.52  -7.24  -1.44  -1.35
199402 -10.44  -9.10  -9.79  -7.25 -10.92  -8.49 -10.79  -8.41 -11.27 -14.90
199403 -10.47 -10.22 -12.29  -9.75  -5.55  -9.51  -7.06  -4.44  -7.64  -3.19
199404  -0.19  -4.16   2.79  -5.23  -0.24  -4.55   5.11  -1.34   0.08  -6.08
199405   6.93   5.21   6.00   5.71   7.12   3.99   6.01   2.24   7.42   6.20
